Blocks,low_pharm,high_pharm,low_patient,high_patient
116,20881.6604,27099.9698,261.0207552,338.749623
117,20869.1533,27083.8732,260.8644168,338.548415
118,20856.8583,27068.0494,260.7107283,338.350618
119,20844.7698,27052.4916,260.5596227,338.156145
120,20832.8828,27037.1931,260.4110356,337.964913
121,20907.3976,27140.3292,261.3424699,339.254115
122,20895.1921,27124.5615,261.1899018,339.057018
123,20883.1852,27109.0501,261.0398145,338.863127
124,20871.3718,27093.789,260.892148,338.672362
125,20859.7475,27078.772,260.7468442,338.48465
126,20848.3077,27063.9934,260.6038467,338.299917
127,20837.0481,27049.4475,260.4631012,338.118094
128,20825.9644,27035.1289,260.3245549,337.939111
129,20815.0525,27021.0323,260.1881565,337.762904
130,20804.3085,27007.1526,260.0538566,337.589407
131,20797.5454,26998.5738,259.969317,337.482172
132,20787.0968,26985.0745,259.8387098,337.313431
133,20776.8053,26971.7782,259.7100666,337.147227
134,20766.6675,26958.6803,259.5833434,336.983504
135,20756.6798,26945.7765,259.4584977,336.822207
136,20746.839,26933.0625,259.3354879,336.663281
137,20737.1419,26920.5341,259.2142739,336.506676
138,20727.5853,26908.1872,259.0948166,336.35234
139,20737.7166,26926.8034,259.2214576,336.585042
140,20728.2924,26914.5881,259.1036555,336.432351
141,20792.9795,27003.9645,259.9122436,337.549557
142,20783.2989,26991.3779,259.7912361,337.392224
143,20773.7537,26978.9674,259.6719209,337.237092
144,20764.341,26966.7292,259.5542629,337.084115
145,20755.0582,26954.6598,259.4382277,336.933247
146,20745.9026,26942.7557,259.3237821,336.784446
147,20736.8715,26931.0136,259.2108936,336.63767
148,20727.9624,26919.4302,259.0995305,336.492877
149,20719.173,26908.0022,258.9896623,336.350028
150,20710.5007,26896.7267,258.881259,336.209083
151,20723.2513,26918.3543,259.0406409,336.479429
152,20714.6663,26907.159,258.9333285,336.339487
153,20706.1935,26896.11,258.827419,336.201375
154,20697.8308,26885.2045,258.7228849,336.065057
155,20689.576,26874.4398,258.6196996,335.930497
156,20681.427,26863.813,258.5178372,335.797663
157,20673.3818,26853.3217,258.4172724,335.666521
158,20665.4384,26842.9631,258.3179806,335.537039
159,20657.595,26832.7348,258.2199378,335.409185
160,20649.8496,26822.6344,258.1231204,335.28293
161,20706.9883,26901.4793,258.8373531,336.268491
162,20699.0336,26891.0792,258.7379199,336.13849
163,20691.1765,26880.8067,258.6397067,336.010084
164,20683.4153,26870.6596,258.5426912,335.883244
165,20675.7481,26860.6354,258.4468516,335.757942
166,20668.1733,26850.7319,258.3521668,335.634149
167,20660.6893,26840.9471,258.2586159,335.511839
168,20653.2943,26831.2788,258.1661787,335.390985
169,20645.9868,26821.7249,258.0748354,335.271561
170,20638.7653,26812.2833,257.9845668,335.153542
171,20634.5523,26806.8509,257.9319036,335.085636
172,20627.4813,26797.6056,257.8435156,334.97007
173,20620.492,26788.4672,257.7561494,334.855841
174,20613.583,26779.4339,257.6697875,334.742924
175,20606.753,26770.5038,257.5844125,334.631298
176,20600.0006,26761.6752,257.5000077,334.52094
177,20593.3245,26752.9463,257.4165566,334.411829
178,20586.7235,26744.3155,257.3340432,334.303944
179,20580.1961,26735.7812,257.2524517,334.197265
180,20573.7413,26727.3417,257.1717668,334.091771
181,20624.9868,26798.0009,257.8123348,334.975012
182,20618.3568,26789.3123,257.7294603,334.866403
183,20611.7993,26780.7186,257.6474915,334.758982
184,20605.3131,26772.2183,257.5664136,334.652729
185,20613.5862,26786.9405,257.6698271,334.836757
186,20607.1601,26778.4982,257.589501,334.731228
187,20600.8027,26770.1462,257.510034,334.626827
188,20594.513,26761.883,257.4314123,334.523537
189,20588.2898,26753.7072,257.3536227,334.42134
190,20582.1321,26745.6175,257.2766519,334.320219
191,20578.6568,26741.103,257.2332095,334.263787
192,20572.6134,26733.1632,257.1576676,334.16454
193,20566.6327,26725.3057,257.0829086,334.066321
194,20560.7136,26717.5292,257.0089202,333.969115
195,20554.8553,26709.8325,256.9356907,333.872906
196,20549.0567,26702.2143,256.8632084,333.777679
197,20543.317,26694.6734,256.791462,333.683418
198,20537.6352,26687.2088,256.7204403,333.590109
