Date,Planned,Actual,Village Screening
18/04/21 0:00,Belwania,,
19/04/21 0:00,Behea Chaurasta,,
20/04/21 0:00,Behea Bajar,,
21/04/21 0:00,,,
22/04/21 0:00,,,
23/04/21 0:00,,,
24/04/21 0:00,,,
25/04/21 0:00,,,
26/04/21 0:00,UdwantNagar Bajar,,
27/04/21 0:00,Gajrajganj,,
28/04/21 0:00,Dularpur,,
29/04/21 0:00,Harigaon,,
30/04/21 0:00,Bampali,,
,,,
